,h1,h2,time_arduino,time_python
475,59.14,44.01,110779.0,1708084053.001358
476,59.19,44.12,110870.0,1708084053.099482
477,59.29,44.17,110961.0,1708084053.18667
478,59.41,44.13,111052.0,1708084053.2777233
479,59.34,44.17,111144.0,1708084053.3668811
480,59.17,44.27,111236.0,1708084053.460107
481,59.24,44.3,111327.0,1708084053.5501068
482,59.29,44.26,111418.0,1708084053.6402273
483,59.19,44.34,111509.0,1708084053.731355
484,59.18,44.44,111601.0,1708084053.8255477
485,59.29,44.38,111692.0,1708084053.9157472
486,59.29,44.41,111783.0,1708084054.0058553
487,59.27,44.51,111875.0,1708084054.0995963
488,59.36,44.52,111966.0,1708084054.1900997
489,59.44,44.5,112058.0,1708084054.2802227
490,59.44,44.56,112149.0,1708084054.3772972
491,59.52,44.66,112240.0,1708084054.4655092
492,59.74,44.64,112331.0,1708084054.5535223
493,59.82,44.65,112422.0,1708084054.6558387
494,59.67,44.71,112515.0,1708084054.7404897
495,59.48,44.74,112606.0,1708084054.8285592
496,59.26,44.75,112697.0,1708084054.9192193
497,59.19,44.8,112788.0,1708084055.0133398
498,59.21,44.83,112879.0,1708084055.1047752
499,59.11,44.84,112971.0,1708084055.1935887
500,58.88,44.88,113062.0,1708084055.2877097
501,58.77,44.91,113154.0,1708084055.3769608
502,58.8,44.95,113245.0,1708084055.4674509
503,58.71,44.96,113336.0,1708084055.5612032
504,58.54,45.0,113428.0,1708084055.6512008
505,58.47,45.04,113519.0,1708084055.7413087
506,58.39,45.07,113610.0,1708084055.8355803
507,58.31,45.1,113701.0,1708084055.9257057
508,58.27,45.11,113794.0,1708084056.0184388
509,58.25,45.18,113885.0,1708084056.1088269
510,58.27,45.2,113976.0,1708084056.2000737
511,58.35,45.23,114067.0,1708084056.290197
512,58.46,45.26,114158.0,1708084056.3832233
513,58.48,45.31,114250.0,1708084056.4753888
514,58.52,45.35,114341.0,1708084056.564504
515,58.62,45.33,114433.0,1708084056.656716
516,58.61,45.38,114524.0,1708084056.7490811
517,58.57,45.48,114615.0,1708084056.8411534
518,58.74,45.47,114707.0,1708084056.9319508
519,58.9,45.47,114798.0,1708084057.0232992
